id,name,buildingCondition,electricity,waterSupply,equipmentScore,dailyPatients,bedCapacity,distanceToHospitalKm,doctorsAvailable,doctorsRequired,nursesAvailable,nursesRequired
PHC001,Villianur PHC,4,1,1,5,180,20,15,1,3,2,6
PHC002,Bahour PHC,8,1,1,8,70,25,5,3,3,6,6
PHC003,Ariyankuppam PHC,6,1,0,6,120,18,12,2,3,4,6
PHC004,Nettapakkam PHC,3,0,1,4,210,20,22,1,3,2,6
PHC005,Thirubuvanai PHC,9,1,1,9,55,30,4,3,3,6,6
PHC006,Madagadipet PHC,5,1,1,5,145,22,18,2,3,3,6
PHC007,Kalapet PHC,2,0,0,3,240,18,28,1,3,1,6
PHC008,Lawspet PHC,8,1,1,8,80,25,6,3,3,5,6
PHC009,Muthialpet PHC,7,1,1,7,100,24,8,2,3,5,6
PHC010,Kirumampakkam PHC,4,1,0,5,190,20,20,1,3,2,6
PHC011,Karikalampakkam PHC,6,1,1,6,130,22,14,2,3,4,6
PHC012,Manavely PHC,3,0,1,4,225,18,25,1,3,2,6
PHC013,Koodapakkam PHC,9,1,1,9,50,30,3,3,3,6,6
PHC014,Kottakuppam PHC,2,0,0,2,260,20,30,1,3,1,6
PHC015,Thavalakuppam PHC,5,1,1,6,150,20,16,2,3,3,6
PHC016,Embalam PHC,7,1,1,7,95,24,7,3,3,5,6
PHC017,Sellipet PHC,4,1,0,5,175,20,18,1,3,2,6
PHC018,Sedarapet PHC,6,1,1,6,140,22,13,2,3,4,6
PHC019,Karuvadikuppam PHC,8,1,1,8,85,26,5,3,3,6,6
PHC020,Veerampattinam PHC,3,0,1,4,230,18,24,1,3,2,6
PHC021,Auroville PHC,9,1,1,9,60,30,5,3,3,6,6
PHC022,Perungalur PHC,5,1,1,5,160,21,17,2,3,3,6
PHC023,Kanniyakoil PHC,4,1,0,5,185,20,19,1,3,2,6
PHC024,Katterikuppam PHC,7,1,1,7,105,24,9,2,3,5,6
PHC025,Ariyur PHC,2,0,0,3,250,18,29,1,3,1,6
PHC026,Sorapet PHC,8,1,1,8,75,25,6,3,3,6,6
PHC027,Kurumbapet PHC,6,1,1,6,125,22,11,2,3,4,6
PHC028,Pillaichavady PHC,3,0,1,4,215,19,23,1,3,2,6
PHC029,Murungapakkam PHC,7,1,1,7,110,24,8,2,3,5,6
PHC030,Thengaithittu PHC,5,1,1,6,155,21,15,2,3,3,6
